2019-12-24 14:24:13.865 [main] INFO  c.z.s.SpringbootWebInterceptorApplication - Starting SpringbootWebInterceptorApplication on Wade-Why with PID 2420 (F:\MyIdeaProgram\SpringBoot\springboot\springboot-web-interceptor\target\classes started by wadewhy in F:\MyIdeaProgram\SpringBoot\springboot)
2019-12-24 14:44:05.343 [http-nio-8080-exec-9] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/
2019-12-24 14:44:06.091 [http-nio-8080-exec-10] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
2019-12-24 14:44:06.214 [http-nio-8080-exec-3] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
2019-12-24 14:44:06.257 [http-nio-8080-exec-1] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
2019-12-24 14:44:06.291 [http-nio-8080-exec-2] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
2019-12-24 14:44:06.295 [http-nio-8080-exec-4] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
2019-12-24 14:44:45.151 [http-nio-8080-exec-9] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/user/login
2019-12-24 14:44:45.465 [http-nio-8080-exec-10] INFO  c.z.s.config.LogHandlerInterceptor - perHandle拦截请求URL：http://localhost:8080/favicon.ico
2019-12-24 14:46:16.236 [http-nio-8080-exec-4] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-URL: /user
2019-12-24 14:46:16.236 [http-nio-8080-exec-4] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-HTTP_METHOD: GET
2019-12-24 14:46:16.236 [http-nio-8080-exec-4] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-IP: 0:0:0:0:0:0:0:1
2019-12-24 14:46:16.237 [http-nio-8080-exec-4] INFO  com.zzh.springbootwebinterceptor.config.LogAspect - Aspect-REQUEST_METHOD: com.zzh.springbootwebinterceptor.controller.UserController.getUser
